2024年计划数据,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,2024年录取数据,Unnamed: 15,Unnamed: 16,Unnamed: 17,2023年录取数据,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,2022年录取数据,Unnamed: 24,Unnamed: 25,2021年录取数据,Unnamed: 27,Unnamed: 28,院校基础信息,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
id,生源地,批次,科类,选科限制,院校代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分,专业组最低位次,计划数,最低分,最低位次,计划数,最低分,最低位次,计划数,最低分,最低位次,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平,理科,工科,文科（非经管法）,经管法,医科,设计与艺术类,语言类,检查是否为空
8147888,陕西,本科第一批,理科,,1001,北京大学,36,电子信息类,(电子信息科学与技术、微电子科学与工程),4,5300,1,,,,699,65,702,44,1,698,62,1,689,53,1,694,64,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
8147889,陕西,本科第一批,理科,,1001,北京大学,37,计算机类,(计算机科学与技术、智能科学与技术),4,5300,1,,,,699,65,702,44,1,703,40,1,692,38,1,696,49,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
8147890,陕西,本科第一批,理科,,1001,北京大学,38,化学类,(化学、应用化学、应用化学(材料方向)、化学生物学),4,5000,1,,,,699,65,702,44,1,706,21,1,691,44,1,696,49,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1,,,,,,,
8147891,陕西,本科第一批,理科,,1001,北京大学,39,生物科学类,(生物科学、生物技术),4,5300,1,,,,699,65,702,44,1,706,23,1,689,53,1,697,42,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
8147892,陕西,本科第一批,理科,,1001,北京大学,40,地质学类,(地质学、地球化学),4,5000,1,,,,699,65,702,44,1,702,44,1,689,53,1,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
8147893,陕西,本科第一批,理科,,1001,北京大学,41,地球物理学类,(地球物理学、地理信息科学(遥感与地理信息系统)、空间科学与技术),4,5000,1,,,,699,65,702,44,1,702,44,1,689,53,1,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1,,,,,,,
8147894,陕西,本科第一批,理科,,1001,北京大学,42,环境科学,(环境、健康、生态、地理与资源环境),4,5000,1,,,,699,65,702,44,1,702,44,1,689,53,1,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
8147895,陕西,本科第一批,理科,,1001,北京大学,44,环境科学与工程类,(环境科学、环境工程、环境科学(环境管理)),4,5000,1,新增,,,699,65,702,44,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
8147896,陕西,本科第一批,理科,,1001,北京大学,45,心理学类,(应用心理学、心理学),4,5000,1,,,,699,65,702,44,1,702,44,1,689,53,1,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,1,,,,,
8147897,陕西,本科第一批,理科,,1001,北京大学,46,信息管理与信息系统,,4,5000,1,,,,699,65,702,44,1,702,44,1,689,53,1,696,49,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,,1,,,,
8147898,陕西,本科第一批,理科,,1001,北京大学,47,理科试验班类,(元培)(数学类),4,5300,1,,,,699,65,702,44,1,710,11,1,698,12,1,698,38,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1,,,,,,,
8147899,陕西,本科第一批,理科,,1001,北京大学,49,文物保护技术,(古建),4,5000,1,新增,,,699,65,702,44,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,1,,,,,
8147900,陕西,本科第一批,理科,,1001,北京大学,51,国际政治,(国政、外交学、国际政经),4,5000,1,,,,699,65,702,44,1,702,44,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,1,,,,,
8147901,陕西,本科第一批,理科,,1001,北京大学,52,经济学类,(经济学、金融学、国际经济与贸易、财政学),4,5000,1,,,,699,65,702,44,1,704,31,1,689,53,1,701,23,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,,1,,,,
8147902,陕西,本科第一批,理科,,1001,北京大学,53,工商管理类,(金融学、金融学(金融经济学)、会计学、市场营销),4,5000,1,,,,699,65,702,44,1,700,46,1,696,18,1,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,,1,,,,
8147903,陕西,本科第一批,理科,,1001,北京大学,55,法学,,4,5000,1,新增,,,699,65,702,44,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,,1,,,,
8169247,陕西,本科第一批,理科,,9701,北京大学,33,工科试验班类,(理论与应用力学、工程力学、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程)(国家专项计划),4,5000,1,新增,,,699,65,702,44,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
8169248,陕西,本科第一批,理科,,9701,北京大学,43,城乡规划,(国家专项计划),4,5000,1,,,,699,65,702,44,1,702,44,1,689,53,1,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,1,,,,,
8169249,陕西,本科第一批,理科,,9701,北京大学,44,环境科学与工程类,(环境科学、环境工程、环境科学(环境管理))(国家专项计划),4,5000,1,新增,,,699,65,702,44,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
8169250,陕西,本科第一批,理科,,9701,北京大学,49,文物保护技术,(古建)(国家专项计划),4,5000,1,新增,,,699,65,702,44,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,1,,,,,
8169251,陕西,本科第一批,理科,,9701,北京大学,55,法学,(国家专项计划),4,5000,1,新增,,,699,65,702,44,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,,1,,,,
